,SHIP,FLAG,SUNK DATE,VESSEL TYPE,ZONA1,ZONA2,ZONA3,ZONA4,COORDINATES,NOTES,IMAGE
35,SS Shuntien,Royal Navy,23 December 1941,,Africa,North Africa,Libya,, 32.06; 24.46﻿ ,A passenger and cargo liner that was torpedoed by the German submarine U-559 east of Tobruk.,
36,HMS Sikh,Royal Navy,14 September 1942,,Africa,North Africa,Libya,, 32.09778; 24.00000﻿ ,A Tribal-class destroyer that was sunk by shore batteries off Tobruk.,
37,HMS Terror,Royal Navy,23 February 1941,,Africa,North Africa,Libya,, 32.983; 22.533﻿ ,An  Erebus-class monitor that was attacked by German aircraft and sank under tow off Derna.,
38,U-652,Kriegsmarine,2 June 1942,,Africa,North Africa,Libya,, 31.917; 25.183﻿ ,A Type VIIC U-boat that was attacked by a British aircraft and scuttled north of Bardia.,
39,SS Yoma,Royal Navy,17 June 1941,,Africa,North Africa,Libya,, 33.03; 22.04﻿ ,A troopship that was torpedoed by the German submarine U-81 northwest of Derna.,
40,Commerce,United States,1815,,Africa,North Africa,,,,"An American merchant ship that ran aground off Cape Bojador in what is now the Western Sahara. The surviving crew, led by Captain James Riley, were subsequently captured and taken as slaves by local tribes.",
41,SS Delhi,United Kingdom,12 December 1911,,Africa,North Africa,,,,"A steamship that ran aground in heavy fog. The Duke of Fife was rescued from the sinking ship, but contracted pleurisy and died soon afterward.",
42,SS Empire Barracuda,United Kingdom,15 December 1942,,Africa,North Africa,,, 35.500; -6.283﻿ ,A cargo ship that was torpedoed by the U-77 off Morocco.,
43,USS Hugh L. Scott,United States Navy,12 November 1942,,Africa,North Africa,,, 33.667; -7.583﻿ ,A  Hugh L. Scott-class troopship that was torpedoed by U-130 off Casablanca.,
44,HMS Lady Shirley,Royal Navy,11 December 1941,,Africa,North Africa,,, 35.983; -5.283﻿ ,A warship that was torpedoed by U-374 in the Straits of Gibraltar.,
45,USS Tasker H. Bliss,United States Navy,13 November 1942,,Africa,North Africa,,, 33.667; -7.583﻿ ,A  Tasker H. Bliss-class troopship that was sunk by U-130 off Casablanca.,
46,SY Taube,Germany,20 January 2009,,Africa,North Africa,,, 34.267; -6.683﻿ ,"The sailing yacht Taube, sailing for the (since abandoned) cultural exploration project Migrobirdo, capsized in heavy swell on the approach to the port of Mehdya on the Sebou River. Six youths of different nationalities drowned, while one German female survived. An investigation concluded that several factors contributed to the accident, including an untrained skipper, an inexperienced crew, overloading, and the absence of a clear line of command.",
47,U-173,Kriegsmarine,16 November 1942,,Africa,North Africa,,, 33.667; -7.583﻿ ,A Type IXC U-boat that was sunk by American destroyers off Casablanca.,
48,U-204,Kriegsmarine,19 October 1941,,Africa,North Africa,,, 35.767; -6.033﻿ ,A Type VIIC U-boat that was sunk by HMS Mallow and HMS Rochester near Tangier.,
49,U-731,Kriegsmarine,15 May 1944,,Africa,North Africa,,, 35.900; -5.750﻿ ,A Type VIIC U-boat that was sunk by British ships north of Tangier.,
50,U-732,Kriegsmarine,31 October 1943,,Africa,North Africa,,, 35.900; -5.867﻿ ,A Type VIIC U-boat that came under attack from British forces and was scuttled north of Tangier.,
51,HMS Havock,Royal Navy,6 April 1942,,Africa,North Africa,Tunisia,, 36.87167; 11.14000﻿ ,A H-class destroyer that ran aground off Kelibia.,
52,HMS Hostile,Royal Navy,23 August 1940,,Africa,North Africa,Tunisia,, 36.8833; 11.3167﻿ ,A H-class destroyer that struck a mine and was scuttled off Cap Bon.,
53,Mahdia,Unknown,Unknown,,Africa,North Africa,Tunisia,, 35.53194; 8.78750﻿ ,An ancient shipwreck discovered near Mahdia in 1907. It is thought to date from around 80 BC.,
54,HMS Manchester,Royal Navy,13 August 1942,,Africa,North Africa,Tunisia,, 36.83333; 11.16667﻿ ,A Town-class light cruiser that was sunk during Operation Pedestal.,
55,USS PC-496,United States Navy,4 June 1943,,Africa,North Africa,Tunisia,, 37.38333; 9.86667﻿ ,A  PC-461-class submarine chaser that sank off Bizerte.,
56,USS Redwing,United States Navy,29 June 1943,,Africa,North Africa,Tunisia,, 37.317; 9.933﻿ ,A  Lapwing-class minesweeper that capsized off Bizerte.,
57,MV Vipya,Nyasaland,"30th July, 1946",,Africa,Southern Africa,Malawi,,,"A Malawian ship owned by the Nyasaland Railway Company that set sail from Monkey Bay to Chilumba in Karonga, Malawi in 1946. It capsized en route with no body recoveries.",
58,Bom Jesus,Portuguese East India Company,,,Africa,Southern Africa,Namibia,,,A Portuguese nau that set sail from Lisbon in 1533. It was discovered in 2008 on the coast near Oranjemund.,
59,MV Dunedin Star,United Kingdom,29 November 1942,,Africa,Southern Africa,Namibia,, -18.13; 11.55﻿ ,"A refrigerator ship that ran aground on the Skeleton Coast, 80 kilometres (50 mi) south of the Cunene River.",
60,Eduard Bohlen,Germany,5 September 1909,,Africa,Southern Africa,Namibia,, -23.99528; 14.45722﻿ ,A freighter that ran aground south of Conception Bay.,
61,Natal Coast,South Africa,1955,,Africa,Southern Africa,Namibia,,,"A Durban steamer that ran aground on a sandbank in dense fog, about 18 kilometres (11 mi) north of Swakopmund. The crew were unharmed and were able to get off the ship once the area's coast guard arrived and allowed everyone off.",
62,Otavi,Unknown,1945,,Africa,Southern Africa,Namibia,, -25.732333; 14.833389,A steamer that ran aground in Spencer Bay.,
63,Frotamerica,Unknown,15 February 2013,,Africa,Southern Africa,Namibia,, -26.37000; 15.04028﻿ ,"The cargo ship ran aground at Lüderitz, Namibia.",
64,Zeila,Unknown,25 August 2008,,Africa,Southern Africa,Namibia,, -22.24111; 14.35361﻿ ,"The ship ran aground 14 km south of Henties Bay, Namibia.",
65,Bredenhof,Dutch East India Company,6 June 1753,,Africa,Southern Africa,South Africa,Eastern Cape,,"A Dutch East Indiaman carrying copper duits, silver bars, and gold ducats, which hit a reef twenty-one kilometres (13 mi) from the eastern coast of Africa and 190 kilometres (120 mi) south of the Portuguese settlement of Mozambique. The wreck was discovered in 1986.",
66,Cordigliera,Unknown,16 November 1996,,Africa,Southern Africa,South Africa,Eastern Cape,,"After placing a distress call to Durban Radio at 10:30 pm requesting immediate assistance due to a leak in a hold, the freighter sank off Port St JohnsSouth Africa, with the loss of all 23 lives.",
67,Doddington,East India Company,17 July 1755,,Africa,Southern Africa,South Africa,Eastern Cape, -33.83433; 26.29000﻿ ,An East Indiaman that was wrecked at Bird Island in Algoa Bay.,
68,Grosvenor,East India Company,4 August 1782,,Africa,Southern Africa,South Africa,Eastern Cape, -31.37389; 29.91472﻿ ,An East Indiaman that was wrecked off the Pondoland coast.,
69,Kapodistrias,Greece,1985,,Africa,Southern Africa,South Africa,Eastern Cape, -34.042167; 25.693317﻿ ,A Greek bulk carrier wrecked at Cape Recife near Port Elizabeth,
70,Kiperousa,Unknown,2005,,Africa,Southern Africa,South Africa,Eastern Cape, -33.333; 27.417﻿ ,A bulk carrier that was stranded northeast of Port Alfred.,
71,Meng Yaw,Unknown,,,Africa,Southern Africa,South Africa,Eastern Cape, -34.167; 24.500﻿ ,A fishing trawler that sank near St Francis Bay.,
72,MTS Oceanos,Greece,4 August 1991,,Africa,Southern Africa,South Africa,Eastern Cape, -32.12093; 29.12029﻿ ,"A cruise liner that sank off the Transkei coast, after leaving East London en route to Durban.",
73,Santissimo Sacramento,Portugal,1647,,Africa,Southern Africa,South Africa,Eastern Cape, -34.04300; 25.52033﻿ ,A Portuguese vessel wrecked at Sardinia Bay near Port Elizabeth,
74,SS Shalom,Bahamas,26 July 2001,,Africa,Southern Africa,South Africa,Eastern Cape,,A combined ocean liner/cruise ship that sank off Cape St. Francis while under tow to be scrapped.,
75,TMP Sagittarius,Unknown,July 2002,,Africa,Southern Africa,South Africa,Eastern Cape, -33.067; 27.850﻿ ,Stranded southwest of East London.,
76,HMS Otus,Royal Navy,September 1946,,Africa,Southern Africa,South Africa,Natal, -29.87250; 31.09417﻿ ,An  Odin-class submarine that was scuttled off Durban.,
77,MT Phoenix,Equatorial Guinea,September 2011,,Africa,Southern Africa,South Africa,Natal,,"A tanker that ran aground near Ballito on 26 July 2011, and was then refloated and scuttled offshore.",
78,Volo,Norway,6 March 1886,,Africa,Southern Africa,South Africa,Natal,,A barque that was stranded in the Bushman River.,
79,Arniston,East India Company,30 May 1815,,Africa,Southern Africa,South Africa,Western Cape, -34.66000; 20.25194﻿ ,"A British East Indiaman, requisitioned for troop transport, wrecked near Waenhuiskrans.",
80,HMS Birkenhead,Royal Navy,26 February 1852,,Africa,Southern Africa,South Africa,Western Cape, -34.64500; 19.28583﻿ ,"A British iron-hulled troopship that struck a submerged rock near Gansbaai. The chivalry of the soldiers in abandoning ship gave rise to the ""women and children first"" protocol.",
81,BOS 400,France,26 June 1994,,Africa,Southern Africa,South Africa,Western Cape, -34.0370222; 18.3086611﻿ ,A Derrick/Lay Barge that ran aground on Duiker point after breaking loose while being towed around the Cape Peninsula by the tug Tigr in a storm.,
82,British Peer,United Kingdom,8 December 1896,,Africa,Southern Africa,South Africa,Western Cape, -33.5067; 18.31167﻿ ,A three-masted iron sailing ship that ran aground near the Cape of Good Hope.,
83,Cospatrick,United Kingdom,17 November 1874,,Africa,Southern Africa,South Africa,Western Cape, -37; 12﻿ ,"A wooden 3-masted full-rigged sailing ship that caught fire and sank south of the Cape of Good Hope, with a loss of 369 lives.",
84,HMS Guardian,Royal Navy,24 December 1789,,Africa,Southern Africa,South Africa,Western Cape,,"A 44-gun  Roebuck-class ship laid down in 1780. Severely damaged by an iceberg, the ship was sailed 400 leagues (1,900 km) to the Cape of Good Hope, where it was intentionally grounded.",
85,Ikan Tanda,Singapore,2001,,Africa,Southern Africa,South Africa,Western Cape,,"A cargo ship that ran aground near Cape Town, and was re-floated and scuttled 320 kilometres (200 mi) from shore.",
86,Joanna,East India Company,8 June 1682,,Africa,Southern Africa,South Africa,Western Cape, -34.78278; 19.67944﻿ ,An East Indiaman (the first to be wrecked off the South African coast) that sank near Cape Agulhas. A considerable amount of gold was on the ship.,
87,Johanna Wagner,Prussia,15 July 1862,,Africa,Southern Africa,South Africa,Western Cape,,A Prussian barque that ran ashore due to navigational error near Muizenberg.,
88,SS Kakapo,United Kingdom,25 May 1900,,Africa,Southern Africa,South Africa,Western Cape, -34.12389; 18.34889﻿ ,A British 665-ton schooner-rigged steamship built in 1898 by the Grangemouth Dockyard Company,
89,SS Maori,United Kingdom,5 August 1909,,Africa,Southern Africa,South Africa,Western Cape,,"A Shaw Savill Line steamship that was wrecked near Llandudno, Cape Town.",
90,Meisho Maru No. 38,Unknown,1982,,Africa,Southern Africa,South Africa,Western Cape, -34.817; 19.983﻿ ,A fishing trawler that sank near Cape Aghulas.,
91,Nolloth,Unknown,,,Africa,Southern Africa,South Africa,Western Cape, -34.267; 18.383﻿ ,A coastal trading vessel that sunk near Olifantsbos Bay.,
92,Pantalis A Lemos,Unknown,1978,,Africa,Southern Africa,South Africa,Western Cape, -33.150; 18.017﻿ ,A bulk carrier that sank near Saldanha Bay.,
93,HMS Pelorus,Royal Navy,12 November 1994,,Africa,Southern Africa,South Africa,Western Cape,,"A British  Algerine-class minesweeper built in 1943. It was renamed SAS Pietermarizburg in 1947, and at the end of its career was scuttled to make an artificial reef at Miller's Point near Simon's Town.",
94,Phoenix,East India Company,19 July 1829,,Africa,Southern Africa,South Africa,Western Cape, -34.189800; 18.448300﻿ ,A merchant vessel that was wrecked near Simon's Town.,
95,SAS President Kruger,South African Navy,18 February 1982,,Africa,Southern Africa,South Africa,Western Cape, -35.250; 17.350﻿ ,"A South African frigate that sank in deep water after a collision with its refueling ship, SAS Tafelberg.",
96,São José Paquete Africa,Portugal,27 December 1794,,Africa,Southern Africa,South Africa,Western Cape,,"A Portuguese slave ship that was wrecked on the rocks off Cape Town, resulting in the deaths of over 200 slaves. The wreck was rediscovered in the 1980s, but was not identified until 2015.",
97,HMS Sceptre,Royal Navy,5 November 1799,,Africa,Southern Africa,South Africa,Western Cape, -33.92000; 18.45000﻿ ,"A 64-gun third-rate ship of the line of the Royal Navy that was blown ashore in Table Bay by a gale, with heavy losses.",
98,MV Seli 1,Turkey,18 September 2009,,Africa,Southern Africa,South Africa,Western Cape, -33.8210417; 18.4734944﻿ ,A Turkish bulk carrier carrying coal that ran aground on Bloubergstrand near Table Bay.,
99,Staaten Generaal,Batavian Republic,1806,,Africa,Southern Africa,South Africa,Western Cape,,A Dutch ship of the line that was scuttled near Simon's Town to prevent her falling into enemy hands following the Battle of Blaauwberg.,
100,A.H. Stevens,Unknown,7 February 1962,,Africa,Southern Africa,South Africa,Western Cape,,Stranded in Shell Bay on Robben Island.,
101,HMS Thames,Royal Navy,13 May 1947,,Africa,Southern Africa,South Africa,Western Cape, -34.23000; 18.63000﻿ ,"A former  Mersey-class protected cruiser that became famous as SATS General Botha, a merchant naval training ship. After retiring as a training ship, it reverted to its original name and was sunk in False Bay near Simon's Town as a target.",
102,SS Thomas T. Tucker,United States,27 November 1942,,Africa,Southern Africa,South Africa,Western Cape, -34.2732389; 18.3800917﻿ ,"A Houston-built munitions carrier that ran ashore on Oliphantsbos Point, near Cape Point.",
103,MV Treasure,Panama,23 June 2000,,Africa,Southern Africa,South Africa,Western Cape, -33.67167; 18.33167﻿ ,"A bulk ore carrier that developed a hole in its hull and sank under tow northwest of Cape Town, causing an oil spill that killed around 2,000 endangered African penguins.",
104,SS Wafra,Liberia,28 February 1971,,Africa,Southern Africa,South Africa,Western Cape, -36.950; 20.700﻿ ,"An oil tanker that grounded near Cape Agulhas, causing an oil spill. The ship was later refloated, towed out to sea, and re-sunk to avoid further contamination of the coastline.",
105,Waterloo,United Kingdom,28 August 1842,,Africa,Southern Africa,South Africa,Western Cape,,"A British convict ship that was driven ashore in Table Bay by a storm, together with the troop transport Abercrombie Robinson.",
106,Diemermeer,Dutch East India Company,1747,,Africa,West Africa,,,,"An East Indiaman that was wrecked off the Banana Islands, Sierra Leone. The wreck was rediscovered in 2014.",
107,Hartwell,East India Company,22 May 1787,,Africa,West Africa,,,,An East Indiaman that ran aground off Cape Verde following a mutiny.,
108,MV George,Unknown,1 April 1999,,Africa,West Africa,,,,A Nigerian and Port Harcourt to Nembe route ferry that capsized in rough sea off Port Harcourt. At least 100 people were killed.,
109,MV Joola,Senegal,26 September 2002,,Africa,West Africa,,,,A Senegalese passenger ship that capsized off the coast of the Gambia.,
110,Medusa,France,2 July 1816,,Africa,West Africa,,, 20.0475; -16.8090﻿ ,"A French passenger ship that sank near Bank of Arguin. The traumatic experience of the stranded passengers and crew was immortalized in Géricault's painting, The Raft of the Medusa.",
111,HNoMS Nordkapp,Royal Norwegian Navy,27 November 1972,,Africa,West Africa,,,,A Norwegian patrol boat that served in WWII before being sold off to civilian ownership as a fishing vessel.,
112,Primauguet,French Navy,8 November 1942,,Africa,West Africa,,,,"A French  Duguay-Trouin-class light cruiser, laid down in 1923, that was sunk by gunfire from USS Massachusetts.",
113,William D. Lawrence,Canada,,,Africa,West Africa,,,,A full-rigged ship that sank off Dakar.,
0,Santo Cristo de Burgos,,1693,galleon,Oregon,North coast,Nehalem,,,"The Spanish galleon Santo Cristo de Burgos wrecked on Nehalem Spit en route from Manila to Acapulco, loaded with a cargo of beeswax. The existence of the wreck was recorded in native oral history, with descendants of survivors including Chief Kilchis. It the earliest known shipwreck in the Pacific Northwest.",
1,SS General Warren,,30 Jan 1852,steamship,Oregon,North coast,Tillamook Head,,,Grounded on Clatsop Spit and wrecked in heavy seas,
2,Detroit,,25 Dec 1855,brig,Oregon,North coast,Tillamook Head,,,Bumped ground putting out of the Columbia River. Crew abandoned ship after she took on 7 feet (210 cm) of water. Ship drifted south and ran aground at Tillamook Head.,
3,Brant,,00 Jan 1862,schooner,Oregon,North coast,Tillamook,,,Refloated.,
4,Millie Bond,,c. 13 Nov 1871,schooner,Oregon,North coast,Barview,,,Wrecked on sand spit near Tillamook Bar. Refloated.,
5,Lupatia,,c. 3 Jan 1881,barque,Oregon,North coast,Tillamook Rock,,,All 16 humans on board died; the only survivor was the ship's dog.,
6,Kate L. Heron,,27 Apr 1881,schooner,Oregon,North coast,Barview,,,Wrecked on Tillamook Bar. Parts washed up at Nehalem.,
7,Pilots Bride,,1 Aug 1881,sloop,Oregon,North coast,Pacific City,,,Stranded on Nestucca Bar.,
8,Carmarthen Castle,,2 Dec 1886,barque,Oregon,North coast,Pacific City,,,Ran aground in Nestucca Bay.,
9,Queen of the Bay,,11 Nov 1887,schooner,Oregon,North coast,Nehalem,,,Wrecked at the mouth of the Nehalem River.,
10,Garcia,,12 Dec 1893,schooner,Oregon,North coast,Cape Meares,,,Wrecked near Cape Meares Lighthouse.,
11,Occident,,12 Mar 1897,steam tug,Oregon,North coast,Nehalem,,,Total loss,
12,Lila and Mattie,,9 Mar 1900,schooner,Oregon,North coast,Barview,,,Wrecked on Tillamook Bar.,
13,Laguna,,6 Apr 1900,steamship,Oregon,North coast,Barview,,,"Went ashore on north spit of Tillamook Bar. Refloated and towed back to San Francisco for repairs, but during a gale abandoned at a point ten miles SWW of Crescent City.   Ran aground on July 17 at the Klamath River for a total loss.",
14,Pioneer,,17 Dec 1900,schooner,Oregon,North coast,Pacific City,,,Remains can still be seen when erosion takes place.,
15,Charles H. Merchant,,11 Aug 1902,schooner,Oregon,North coast,Manzanita,,,"Stranded on Nehalem Spit, refloated and scrapped.",
16,Gem,,15 Feb 1904,schooner,Oregon,North coast,Barview,,,Ran aground on the beach near the Tillamook Bay north jetty.,
17,Peter Iredale,,25 Oct 1906,barque,Oregon,North coast,Fort Stevens,,,Remains can still be seen.,
18,Gerald C.,,10 May 1907,gas screw,Oregon,North coast,Pacific City,,,Wrecked on the north spit at the entrance to Nestucca harbor.,
19,Antelope,,30 Sep 1907,schooner,Oregon,North coast,Nehalem,,,"built 1887 in Benicia, CA for salmon packer. Wrecked at Nehalem River.",
20,Emily Reed,,14 Feb 1908,barque,Oregon,North coast,Rockaway,,,"Loaded with 2,100 tons of coal, the ship ran ashore and broke apart. The captain, his wife and seven crewmen survived, but eight died. Remains are occasionally seen after storms.",
21,Hill,,17 Jun 1908,schooner,Oregon,North coast,Nehalem,,,Wrecked at Nehalem Bar.,
22,Ida Schnauer,,17 Jun 1908,schooner,Oregon,North coast,Barview,,,"Wrecked on Tillamook Bar. While waiting for tug into harbor, wind shifted and she was pushed ashore for a total loss.",
23,Argo #1,,26 Nov 1909,steamship,Oregon,North coast,Barview,,,"Struck the bar off the entrance to Tillamook Bay and foundered. Two crew and two passengers were drowned. Sister ship, the Argo #2, a river steamer, went down at Dixon Entrance in Alaska.",
24,Vida,,28 Apr 1912,gas schooner,Oregon,North coast,Barview,,,Lost rudder and broke to pieces on Tillamook Bar.,
25,George R. Vosberg,,3 May 1912,steam tug,Oregon,North coast,Nehalem,,,"Hole punched in hull by underwater rock. The crew attempted to plug the hole with a spare fuel tank. Though the effort was ultimately futile, the crew was rescued.",
26,C.T. Hill,,30 Jul 1912,schooner,Oregon,North coast,Nehalem,,,Stranded on the south side of the Nehalem Bar. Salvaged.,
27,Mimi,,13 Feb 1913,barque,Oregon,North coast,Manzanita,,,"Ran aground in fog on Nehalem Spit, then capsized in salvage operation, killing 17.",
28,Glenesslin,,1 Oct 1913,square rig,Oregon,North coast,Neahkahnie Beach,,,"Sailed into the rocks at the base of Neahkahnie Mountain, on a clear day. All survived, but rocks penetrated the hull and little was salvaged. A naval court of inquiry ruled the cause was negligence.",
29,Francis H. Leggett,,18 Sep 1914,steam schooner,Oregon,North coast,Manzanita,,,"Lost in a gale due to being overloaded. Two survived, but the 60 who were lost make it the worst maritime disaster in Oregon history. The railroad ties that were its cargo were used for construction in Manzanita when they washed ashore. ",
30,Oakland,,22 Mar 1916,schooner,Oregon,North coast,Manzanita,,,"Abandoned at sea. After running ashore, it was refloated and renamed the Mary Hanlon. Ultimately lost off Mendocino, California.",
31,Life-Line,,26 May 1923,gas propeller,Oregon,North coast,Neahkahnie Beach,,,"Foundered off Neahkahnie, washed ashore and covered by sand. Uncovered by a bulldozer in 1949.",
32,Venus,,4 Nov 1923,gas schooner,Oregon,North coast,Pacific City,,,"Capsized on Nestucca Bar. Captain Adolph Kangiser and his engineer made a swim for shore. The captain felt something tug him down. Kicking hard he managed to free himself. Upon reaching shore, he found part of his boot missing, though he himself was not injured.  The marks on the boots indicated a shark, making him the first shark attack victim in Oregon history.[citation needed]",
33,Phoenix,,5 Nov 1923,gas schooner,Oregon,North coast,Barview,,,Capsized on Tillamook Bar. Four died.,
34,Sea Island,,7 Feb 1932,,Oregon,North coast,Tillamook,,,Rum-Runner.,
